requestTime,userIp,x,y,z
2026-04-07 20:58:18.411386300+00:00,::1,9,1,5
2026-04-07 20:58:18.532197800+00:00,::1,13,1,5
2026-04-07 20:58:18.566470300+00:00,::1,14,5,5
2026-04-07 20:58:18.640121700+00:00,::1,13,5,5
2026-04-07 20:58:18.682801200+00:00,::1,9,6,5
2026-04-07 20:58:18.687220500+00:00,::1,10,5,5
2026-04-07 20:58:18.707850700+00:00,::1,15,5,5
2026-04-07 20:58:18.782958300+00:00,::1,15,6,5
2026-04-07 20:58:18.953421300+00:00,::1,11,5,5
2026-04-07 20:58:18.953954400+00:00,::1,13,6,5
2026-04-07 20:58:18.966584600+00:00,::1,9,5,5
2026-04-07 20:58:19.010275500+00:00,::1,15,4,5
2026-04-07 20:58:19.042575700+00:00,::1,11,6,5
2026-04-07 20:58:19.135729900+00:00,::1,10,6,5
2026-04-07 20:58:19.143112200+00:00,::1,15,3,5
2026-04-07 20:58:19.143141700+00:00,::1,14,3,5
2026-04-07 20:58:19.143277+00:00,::1,22,8,6
2026-04-07 20:58:19.145667500+00:00,::1,25,8,6
2026-04-07 20:58:19.148112900+00:00,::1,26,9,6
2026-04-07 20:58:19.149968500+00:00,::1,27,9,6
2026-04-07 20:58:19.153193900+00:00,::1,25,9,6
2026-04-07 20:58:19.177465100+00:00,::1,26,8,6
2026-04-07 20:58:19.500127300+00:00,::1,21,8,6
2026-04-07 20:58:19.589419100+00:00,::1,24,10,6
2026-04-07 20:58:19.734569200+00:00,::1,22,10,6
2026-04-07 20:58:19.791412700+00:00,::1,24,8,6
2026-04-07 20:58:19.827314100+00:00,::1,23,9,6
2026-04-07 20:58:19.854474800+00:00,::1,26,10,6
2026-04-07 20:58:19.897586100+00:00,::1,22,9,6
2026-04-07 20:58:19.898703600+00:00,::1,21,9,6
2026-04-07 20:58:19.902300600+00:00,::1,27,8,6
2026-04-07 20:58:19.903671400+00:00,::1,24,9,6
2026-04-07 20:58:19.907748+00:00,::1,21,10,6
2026-04-07 20:58:20.150738100+00:00,::1,97,37,8
2026-04-07 20:58:20.155540300+00:00,::1,97,38,8
2026-04-07 20:58:20.155614700+00:00,::1,96,37,8
2026-04-07 20:58:20.157643300+00:00,::1,98,37,8
2026-04-07 20:58:20.159510+00:00,::1,96,38,8
2026-04-07 20:58:20.159716300+00:00,::1,98,38,8
2026-04-07 20:58:20.534814200+00:00,::1,95,38,8
2026-04-07 20:58:20.544413600+00:00,::1,95,36,8
2026-04-07 20:58:20.544424400+00:00,::1,100,36,8
2026-04-07 20:58:20.554277400+00:00,::1,96,39,8
2026-04-07 20:58:20.577873200+00:00,::1,94,39,8
2026-04-07 20:58:20.678853300+00:00,::1,100,37,8
2026-04-07 20:58:20.900840700+00:00,::1,94,36,8
2026-04-07 20:58:21.121661800+00:00,::1,97,39,8
2026-04-07 20:58:21.162534700+00:00,::1,99,37,8
2026-04-07 20:58:21.201789800+00:00,::1,99,39,8
2026-04-07 20:58:21.255591200+00:00,::1,98,39,8
2026-04-07 20:58:21.379466300+00:00,::1,94,37,8
2026-04-07 20:58:21.596547900+00:00,::1,100,38,8
2026-04-07 20:58:21.786747300+00:00,::1,99,36,8
2026-04-07 20:58:21.836427200+00:00,::1,96,36,8
2026-04-07 20:58:22.194631+00:00,::1,95,39,8
2026-04-07 20:58:22.198221+00:00,::1,100,39,8
2026-04-07 20:58:22.254315600+00:00,::1,95,37,8
2026-04-07 20:58:22.336084200+00:00,::1,99,38,8
2026-04-07 20:58:22.367538+00:00,::1,94,38,8
2026-04-07 20:58:22.484960800+00:00,::1,97,36,8
2026-04-07 20:58:22.529206200+00:00,::1,98,36,8
2026-04-07 21:00:58.101713800+00:00,::1,98,35,8
